标题,售价,单价,小区,区域,户型,面积,朝向,装修,楼层,楼层类型,楼层数,建筑结构,年份,详情页,面积数值,楼层数值,房间数,厅数,每房间价格,每平米房间数,是否南北通透,楼层类型编码,装修编码,cluster
中间楼层，开发商精空，三面采光，周正户型，诚心卖,75.0,6648,澳海澜庭 ,金星北,3室2厅,112.82平米,南,精装,中楼层(共31层) ,中,31,板楼,unknown,https://cs.lianjia.com/ershoufang/104114738522.html,112.82,31.0,3.0,2.0,25.0,0.02659102995922709,0,1.0,2,1
低总价复试洋房视野开阔采光充足青竹湖畔带电梯的洋房,178.0,12502,青竹湖畔 ,青竹湖,3室2厅,142.38平米,南 北,其他,低楼层(共6层) ,低,6,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104114774887.html,142.38,6.0,3.0,2.0,59.333333333333336,0.02107037505267594,1,0.0,1,4
满五唯一，马厂地铁口，3房，地理位置好.随时看房,83.0,6531,先锋水韵花都 ,开福区政府,3室2厅,127.09平米,南,其他,高楼层(共32层),高,32,塔楼,2007年,https://cs.lianjia.com/ershoufang/104114805095.html,127.09,32.0,3.0,2.0,27.666666666666668,0.023605319065229363,0,2.0,1,1
省个税 二期经典三房 房东诚心出售 价格可谈,85.8,9595,华润置地广场二期 ,开元路,3室2厅,89.43平米,南 北,其他,低楼层(共34层),低,34,板楼,2017年,https://cs.lianjia.com/ershoufang/104111079600.html,89.43,34.0,3.0,2.0,28.599999999999998,0.03354579000335458,1,0.0,1,4
松雅湖凤凰城板块南北朝向4居室看房方便诚心出售,64.8,5160,佳美星城 ,开元路,4室2厅,125.6平米,南 北,精装,低楼层(共31层),低,31,板塔结合,2009年,https://cs.lianjia.com/ershoufang/104113246711.html,125.6,31.0,4.0,2.0,16.2,0.03184713375796178,1,0.0,2,4
小区环境优美 百强物业 房子户型好 业主诚心卖房,89.0,7194,中海国际社区一期 ,含浦,4室2厅,123.72平米,南 北,精装,低楼层(共33层),低,33,塔楼,2013年,https://cs.lianjia.com/ershoufang/104114414565.html,123.72,33.0,4.0,2.0,22.25,0.032331070158422244,1,0.0,2,4
次新小区阳光城蓝莓苑精装三房 拎包入住 采光视野好,83.0,8938,阳光城尚东湾蓝莓苑 ,武广新城,3室2厅,92.87平米,东南 南,精装,高楼层(共35层),高,35,板塔结合,2020年,https://cs.lianjia.com/ershoufang/104115110788.html,92.87,35.0,3.0,2.0,27.666666666666668,0.03230321955421557,0,2.0,2,1
央企五矿哈佛小镇 楼层视野好 通地下车库,75.0,6266,五矿哈佛小镇 ,暮云,4室2厅,119.7平米,南,毛坯,低楼层(共18层) ,低,18,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114275555.html,119.7,18.0,4.0,2.0,18.75,0.03341687552213868,0,0.0,0,2
谷山旁，清水毛坯复式 唯一，方便看房，楼层好,73.8,5174,澳海谷山府 ,金星北,5室2厅,142.66平米,南,毛坯,中楼层(共34层) ,中,34,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104113413186.html,142.66,34.0,5.0,2.0,14.76,0.03504836674610963,0,1.0,0,2
美的云樾，双阳台四房，安静洋房，环境优美，近浏阳河,279.0,15079,美的云樾 ,汽车东站,4室2厅,185.03平米,南,精装,高楼层(共11层) ,高,11,板楼,unknown,https://cs.lianjia.com/ershoufang/104114975095.html,185.03,11.0,4.0,2.0,69.75,0.02161811598119224,0,2.0,2,1
梅溪湖二期次新小区越秀亲爱里近地铁,108.0,9983,越秀亲爱里 ,东方红,3室2厅,108.19平米,南,精装,高楼层(共31层),高,31,暂无数据,2022年,https://cs.lianjia.com/ershoufang/104114981995.html,108.19,31.0,3.0,2.0,36.0,0.027728995286070802,0,2.0,2,1
月亮岛地铁口 四房 诚心出售 出门沙子船,91.0,8462,明发阅江悦府 ,金星北,4室2厅,107.55平米,南 北,其他,低楼层(共34层) ,低,34,塔楼,unknown,https://cs.lianjia.com/ershoufang/104111850775.html,107.55,34.0,4.0,2.0,22.75,0.037192003719200374,1,0.0,1,4
明发2期 纯毛坯 诚心出售有钥匙,65.0,6752,明发阅江悦府 ,金星北,3室1厅,96.28平米,南,毛坯,高楼层(共43层) ,高,43,塔楼,unknown,https://cs.lianjia.com/ershoufang/104114994736.html,96.28,43.0,3.0,1.0,21.666666666666668,0.03115911923556294,0,2.0,0,2
江山帝景，精装四房，中间楼层，位置安静。,135.0,10846,江山帝景哈佛 ,含浦,4室2厅,124.47平米,南 北,精装,中楼层(共28层) ,中,28,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104114355432.html,124.47,28.0,4.0,2.0,33.75,0.03213625773278702,1,1.0,2,4
华创 富兴 湘雅  精装三房  户型好 看房方便 南北通透,120.0,13419,上园 ,烈士公园,3室2厅,89.43平米,南 北,精装,中楼层(共34层),中,34,塔楼,2017年,https://cs.lianjia.com/ershoufang/104116243986.html,89.43,34.0,3.0,2.0,40.0,0.03354579000335458,1,1.0,2,4
适合人群  就近上班族  需要地铁  首付不多,55.0,4677,望兴家园 ,汽车西站,2室2厅,117.62平米,南 北,简装,中楼层(共7层),中,7,板楼,2002年,https://cs.lianjia.com/ershoufang/104115169114.html,117.62,7.0,2.0,2.0,27.5,0.017003910899506886,1,1.0,1,4
正地铁口 近烈士公园 浏阳河 花园小区小三房 诚心急售,75.0,9130,兰亭峰景 ,四方坪,3室1厅,82.15平米,北,简装,低楼层(共30层) ,低,30,塔楼,unknown,https://cs.lianjia.com/ershoufang/104116258132.html,82.15,30.0,3.0,1.0,25.0,0.03651856360316494,0,0.0,1,0
近城轨谷山站天麓尚层自住精装 3房2卫中间楼层 保养新,82.0,8391,天麓尚层 ,雷锋大道,3室2厅,97.73平米,南 北,精装,中楼层(共32层) ,中,32,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115955537.html,97.73,32.0,3.0,2.0,27.333333333333332,0.03069681776322521,1,1.0,2,4
月亮岛精装三房带露台，中间楼层，小区人车分流新小区,93.8,9784,乾源国际广场 ,金星北,3室2厅,95.88平米,南,简装,低楼层(共25层) ,低,25,板楼,unknown,https://cs.lianjia.com/ershoufang/104116276364.html,95.88,25.0,3.0,2.0,31.266666666666666,0.03128911138923655,0,0.0,1,3
梅溪湖麓谷自住精装修电梯中间楼层拎包入住2房,80.0,9058,麓谷明珠 ,枫林三路,2室2厅,88.32平米,东南,精装,中楼层(共18层),中,18,板塔结合,2012年,https://cs.lianjia.com/ershoufang/104116286537.html,88.32,18.0,2.0,2.0,40.0,0.022644927536231887,0,1.0,2,3
雨花亭宏轩花苑南北通透三房诚心出售,98.0,6855,宏轩花苑 ,雨花亭,3室2厅,142.97平米,南 北,简装,低楼层(共14层),低,14,板塔结合,2001年,https://cs.lianjia.com/ershoufang/104115459378.html,142.97,14.0,3.0,2.0,32.666666666666664,0.020983423095754353,1,0.0,1,4
金鹏名都边户两房 低楼层 清水装修 随时看房,29.8,3598,金鹏名都 ,星沙其他,2室2厅,82.84平米,南 北,毛坯,低楼层(共16层),低,16,暂无数据,2016年,https://cs.lianjia.com/ershoufang/104116314276.html,82.84,16.0,2.0,2.0,14.9,0.024142926122646062,1,0.0,0,2
树木岭 融科精装1房 好住好租 物业管理好 高层采光好,28.0,7562,融科东南海 ,树木岭,1室1厅,37.03平米,南 北,精装,高楼层(共34层),高,34,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104116339481.html,37.03,34.0,1.0,1.0,28.0,0.027005130974885227,1,2.0,2,0
横厅户型，没有个税，楼层好，视野宽阔，采光充足，,115.0,12094,合能璞丽 ,梅溪湖北岸,3室2厅,95.09平米,南,毛坯,高楼层(共34层),高,34,板塔结合,2018年,https://cs.lianjia.com/ershoufang/104115211360.html,95.09,34.0,3.0,2.0,38.333333333333336,0.03154905878641287,0,2.0,0,2
轻轨口 宜居小区精装三房两卫 拎包入住 中间楼层,79.0,8356,宜居莱茵城 ,河西人人乐,3室2厅,94.55平米,南 北,其他,中楼层(共32层),中,32,板塔结合,2010年,https://cs.lianjia.com/ershoufang/104115369999.html,94.55,32.0,3.0,2.0,26.333333333333332,0.03172924378635643,1,1.0,1,4
麓谷高新区品质小区，完全次新新房，刚需四房,94.0,7930,保利恒伟时光印象 ,麓谷西,4室2厅,118.55平米,东南,毛坯,低楼层(共27层) ,低,27,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116379136.html,118.55,27.0,4.0,2.0,23.5,0.03374103753690426,0,0.0,0,2
精装三房 地铁 岳麓山西湖公园 带电梯,120.0,9204,红叶山庄 ,岳麓山北,3室2厅,130.38平米,南,精装,中楼层(共6层) ,中,6,板楼,unknown,https://cs.lianjia.com/ershoufang/104114683569.html,130.38,6.0,3.0,2.0,40.0,0.02300966405890474,0,1.0,2,3
高桥商圈低总价大三房6号线地铁口诚心卖,103.0,7473,西子花苑 ,高桥,3室2厅,137.83平米,南,简装,低楼层(共18层),低,18,板楼,2007年,https://cs.lianjia.com/ershoufang/104116066987.html,137.83,18.0,3.0,2.0,34.333333333333336,0.02176594355365305,0,0.0,1,3
新上、大三房、看湖、30多万精装修、近地铁口,155.0,13501,金茂悦 ,梅溪湖北岸,3室2厅,114.81平米,南,精装,高楼层(共32层),高,32,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104115908478.html,114.81,32.0,3.0,2.0,51.666666666666664,0.026130128037627383,0,2.0,2,1
润和之悦 4室1厅 南,109.8,9233,润和之悦 ,金星北,4室1厅,118.93平米,南,精装,低楼层(共32层),低,32,塔楼,2015年,https://cs.lianjia.com/ershoufang/104116423212.html,118.93,32.0,4.0,1.0,27.45,0.033633229630875304,0,0.0,2,3
精装拎包入住，中楼层采光好，不临马路,108.8,11789,中国铁建梅溪青秀一期 ,梅溪湖北岸,3室2厅,92.29平米,南,精装,34层,3,34,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104114183243.html,92.29,34.0,3.0,2.0,36.266666666666666,0.032506230360819156,0,,2,1
地铁口 3房 小高层 拎包入住 南北户型 双阳台 运达旁,113.0,8246,茂华国际湘 ,武广新城,3室2厅,137.04平米,南 北,精装,低楼层(共11层),低,11,板楼,2013年,https://cs.lianjia.com/ershoufang/104115069446.html,137.04,11.0,3.0,2.0,37.666666666666664,0.021891418563922942,1,0.0,2,4
树木岭成熟地段！国欣向荣府少有的大5房！万科物业,175.0,11847,国欣向荣府 ,高桥,5室2厅,147.72平米,南 北,毛坯,中楼层(共33层),中,33,板塔结合,2022年,https://cs.lianjia.com/ershoufang/104116280895.html,147.72,33.0,5.0,2.0,35.0,0.033847820200379096,1,1.0,0,2
正地铁口 精装全屋带空调 次新小区 门口大型商场,139.8,10823,金富湘江悦城 ,金星北,4室2厅,129.17平米,南,精装,低楼层(共34层) ,低,34,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115331434.html,129.17,34.0,4.0,2.0,34.95,0.0309669427885732,0,0.0,2,3
青秀二期 地铁口 三房两卫 满五不唯一 清水毛坯,119.0,13069,中国铁建梅溪青秀二期 ,梅溪湖北岸,3室2厅,91.06平米,南,毛坯,高楼层(共30层),高,30,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104111747132.html,91.06,30.0,3.0,2.0,39.666666666666664,0.032945310784098396,0,2.0,0,2
满五唯一2梯3户边户格局好采光好18年小高层未出租过,122.0,9667,恒大雅苑 ,广电,3室2厅,126.21平米,南 北,其他,低楼层(共15层) ,低,15,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116269586.html,126.21,15.0,3.0,2.0,40.666666666666664,0.02376990729736154,1,0.0,1,4
业主居家装修，正地铁口小区，配套长郡梅溪湖,132.0,14496,中国铁建梅溪青秀二期 ,梅溪湖北岸,3室2厅,91.06平米,南,其他,中楼层(共30层) ,中,30,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116084326.html,91.06,30.0,3.0,2.0,44.0,0.032945310784098396,0,1.0,1,1
袁家岭双地铁口 高档花园小区 自住装修拎包入住大两房,93.0,11093,湘域中央 ,火车站,2室1厅,83.84平米,南,精装,高楼层(共33层) ,高,33,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116411023.html,83.84,33.0,2.0,1.0,46.5,0.023854961832061067,0,2.0,2,0
满五唯一，房东诚心出售，价格可谈。,82.0,9644,万象新天 ,晚报,3室2厅,85.03平米,南,精装,中楼层(共33层),中,33,板塔结合,2009年,https://cs.lianjia.com/ershoufang/104116432140.html,85.03,33.0,3.0,2.0,27.333333333333332,0.0352816652946019,0,1.0,2,1
浏阳河边，长房白沙湾自住大三房，诚心出售，随时看房,145.0,10458,长房白沙湾 ,马王堆,3室2厅,138.65平米,南 北,精装,中楼层(共14层),中,14,板楼,2015年,https://cs.lianjia.com/ershoufang/104116430115.html,138.65,14.0,3.0,2.0,48.333333333333336,0.021637216011539846,1,1.0,2,4
置换房，诚心出  自住装修  领包入住,78.8,9278,新华联梦想城 ,金星北,3室2厅,84.94平米,南,精装,32层 ,3,32,板楼,unknown,https://cs.lianjia.com/ershoufang/104115074802.html,84.94,32.0,3.0,2.0,26.266666666666666,0.03531904874028726,0,,2,1
业主诚心卖，房型好，通透户型，楼层视野佳，采光好,26.0,3604,才子城 ,望城区,4室2厅,72.15平米,南,其他,中楼层(共32层) ,中,32,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104114457058.html,72.15,32.0,4.0,2.0,6.5,0.05544005544005544,0,1.0,1,1
联排别墅中间户前后带院子上下共4层,178.0,7450,静园山庄 ,雷锋大道,5室2厅,238.94平米,南 北,毛坯,低楼层(共3层) ,低,3,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115775796.html,238.94,3.0,5.0,2.0,35.6,0.020925755419770653,1,0.0,0,2
智能化社区，精装修未入住，板楼低密度高绿化,129.8,10780,美的麓府 ,麓谷西,4室2厅,120.41平米,南,精装,中楼层(共27层) ,中,27,板楼,unknown,https://cs.lianjia.com/ershoufang/104113056799.html,120.41,27.0,4.0,2.0,32.45,0.03321983223984719,0,1.0,2,1
地铁口 户型佳 二梯二户 安静 居家装修 诚售,129.8,8494,满庭芳 ,铁道学院,4室2厅,152.82平米,南 北,精装,中楼层(共18层),中,18,板楼,2008年,https://cs.lianjia.com/ershoufang/104115701483.html,152.82,18.0,4.0,2.0,32.45,0.026174584478471406,1,1.0,2,4
锦泰广场 宝庆金都 电梯小高层 周正四房 满五唯一,95.0,5597,宝庆金都 ,火车站,4室2厅,169.75平米,南 北,简装,低楼层(共9层),低,9,板楼,2003年,https://cs.lianjia.com/ershoufang/104113117048.html,169.75,9.0,4.0,2.0,23.75,0.023564064801178203,1,0.0,1,4
高桥北 大一房，正地铁口，精装修，中上层，拎包入住,36.0,6803,上河国际F区 ,高桥,1室1厅,52.92平米,南,其他,23层,2,23,塔楼,2007年,https://cs.lianjia.com/ershoufang/104114876789.html,52.92,23.0,1.0,1.0,36.0,0.01889644746787604,0,,1,0
金星北优质清水毛坯电梯洋房大五房,88.8,6396,澳海澜庭 ,金星北,5室2厅,138.84平米,南,毛坯,中楼层(共11层),中,11,板楼,2017年,https://cs.lianjia.com/ershoufang/104111662858.html,138.84,11.0,5.0,2.0,17.759999999999998,0.036012676462114666,0,1.0,0,2
林科大教师单位房，装了电梯6楼，产权清晰无纠纷！,79.8,6348,三湘小区 ,韶山南路,3室2厅,125.71平米,南 北,简装,高楼层(共7层),高,7,板塔结合,2002年,https://cs.lianjia.com/ershoufang/104111230139.html,125.71,7.0,3.0,2.0,26.599999999999998,0.023864449924429244,1,2.0,1,4
业主自住精装修四房，保养很好，拎包可以入住,90.0,7084,米兰春天 ,含浦,4室2厅,127.05平米,南 北,精装,高楼层(共34层),高,34,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104111490372.html,127.05,34.0,4.0,2.0,22.5,0.03148366784730421,1,2.0,2,4
梅溪湖二期次新小区越秀亲爱里近地铁,109.8,10149,越秀亲爱里 ,东方红,3室2厅,108.19平米,南,精装,中楼层(共31层),中,31,暂无数据,2022年,https://cs.lianjia.com/ershoufang/104115044451.html,108.19,31.0,3.0,2.0,36.6,0.027728995286070802,0,1.0,2,1
小区环境好 临地铁 楼层视野好 户型 周正,86.0,9663,长沙北中心保利时代B区 ,金霞,3室2厅,89平米,南,其他,中楼层(共27层) ,中,27,板楼,unknown,https://cs.lianjia.com/ershoufang/104115198200.html,89.0,27.0,3.0,2.0,28.666666666666668,0.033707865168539325,0,1.0,1,1
月亮岛地铁口朝南向复式楼两房 湘江边上,25.8,7661,越秀湘江星汇城 ,金星北,1室1厅,33.68平米,南,其他,中楼层(共20层) ,中,20,板楼,unknown,https://cs.lianjia.com/ershoufang/104116403701.html,33.68,20.0,1.0,1.0,25.8,0.02969121140142518,0,1.0,1,0
建工·象山国际 4室2厅 南,150.0,10269,建工·象山国际 ,含浦,4室2厅,146.08平米,南,毛坯,中楼层(共34层) ,中,34,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115181758.html,146.08,34.0,4.0,2.0,37.5,0.027382256297918947,0,1.0,0,2
锦泰广场正地铁口，复试大平层，业主诚心出售看房方便,140.0,7146,锦泰家园 ,火车站,5室2厅,195.94平米,南 北,其他,11层 ,1,11,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115346581.html,195.94,11.0,5.0,2.0,28.0,0.025518015719097682,1,,1,4
正地铁口 万润·滨江天著  精装 大四房,139.8,8653,万润·滨江天著 ,金星北,4室2厅,161.57平米,南,精装,高楼层(共46层) ,高,46,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115547907.html,161.57,46.0,4.0,2.0,34.95,0.02475707123847249,0,2.0,2,1
次新小区 满五唯一 全新装修未住过  配套成熟,78.8,7340,富基世纪公园 ,金星北,3室2厅,107.36平米,南,精装,高楼层(共31层) ,高,31,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116214754.html,107.36,31.0,3.0,2.0,26.266666666666666,0.027943368107302535,0,2.0,2,1
富基五期朝南三房 业主诚意出售 满五唯一 随时看房,46.0,4988,富基世纪公园 ,金星北,3室2厅,92.23平米,南 北,简装,低楼层(共31层),低,31,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104115986978.html,92.23,31.0,3.0,2.0,15.333333333333334,0.03252737720915103,1,0.0,1,4
恒大翡翠华庭  诚心出售 随时看房,68.0,6624,恒大翡翠华庭 ,开元路,3室2厅,102.67平米,南,其他,高楼层(共24层),高,24,塔楼,2015年,https://cs.lianjia.com/ershoufang/104113198717.html,102.67,24.0,3.0,2.0,22.666666666666668,0.029219830524982955,0,2.0,1,1
云塘理工大学怡海星城住宅性质民水民电中间随时看房,12.0,3482,怡海星城 ,暮云,1室1厅,34.47平米,南,其他,中楼层(共18层) ,中,18,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116136223.html,34.47,18.0,1.0,1.0,12.0,0.02901073397156948,0,1.0,1,0
高楼层，视野开阔，一线河景房！无物业费,55.0,6836,福嘉园 ,广电,2室2厅,80.46平米,南 北,其他,低楼层(共34层) ,低,34,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104116179557.html,80.46,34.0,2.0,2.0,27.5,0.02485707183693761,1,0.0,1,4
马王堆 鑫湘佳园 步梯两房 诚意出售,53.8,5444,鑫湘佳园 ,马王堆,2室2厅,98.84平米,南,其他,7层 ,7,7,板楼,unknown,https://cs.lianjia.com/ershoufang/104110397173.html,98.84,7.0,2.0,2.0,26.9,0.020234722784297856,0,,1,3
芙蓉区地铁6号线门口 自住装修正规3房 装修新 唯一,88.0,8966,爵世名邸东湖 ,汽车东站,3室2厅,98.15平米,南,精装,中楼层(共34层),中,34,板楼,2017年,https://cs.lianjia.com/ershoufang/104114877408.html,98.15,34.0,3.0,2.0,29.333333333333332,0.030565461029037184,0,1.0,2,1
好房子楼层好小区环境好业主诚心出售,38.88,4157,中航山水蓝天 ,望城区,3室2厅,93.55平米,南,其他,中楼层(共33层) ,中,33,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104116145301.html,93.55,33.0,3.0,2.0,12.96,0.03206841261357563,0,1.0,1,1
二环内 近地铁 南北通透三房两卫 中间楼层,98.0,8960,钱隆樽品 ,金盆岭,3室2厅,109.38平米,南 北,精装,中楼层(共28层),中,28,板楼,2014年,https://cs.lianjia.com/ershoufang/104115882920.html,109.38,28.0,3.0,2.0,32.666666666666664,0.027427317608337904,1,1.0,2,4
锦泰地铁口 楼梯房小区 三房 诚心出售 随时看房,42.0,4168,安泰新村 ,马王堆,3室1厅,100.79平米,南,简装,8层,8,8,板楼,2000年,https://cs.lianjia.com/ershoufang/104116152998.html,100.79,8.0,3.0,1.0,14.0,0.02976485762476436,0,,1,0
鑫远翡丽郡 带露台四房两厅两卫 随时看房 有钥匙,162.0,12108,鑫远翡丽雅苑 ,德思勤,4室2厅,133.8平米,南 北,毛坯,低楼层(共13层),低,13,板塔结合,2019年,https://cs.lianjia.com/ershoufang/104113628821.html,133.8,13.0,4.0,2.0,40.5,0.029895366218236172,1,0.0,0,2
采光好，业主诚心出售，满五唯一，出价沟通，,98.0,10669,湘熙水郡 ,洋湖垸,3室2厅,91.86平米,南,精装,中楼层(共34层),中,34,板塔结合,2014年,https://cs.lianjia.com/ershoufang/104115802443.html,91.86,34.0,3.0,2.0,32.666666666666664,0.032658393207054215,0,1.0,2,1
二期地铁口，满五唯一，安静宜居，近地铁不近高架,126.0,10162,万科金域华府 ,武广新城,3室2厅,124平米,南 北,精装,低楼层(共34层),低,34,板塔结合,2013年,https://cs.lianjia.com/ershoufang/104113473164.html,124.0,34.0,3.0,2.0,42.0,0.024193548387096774,1,0.0,2,4
龙湖 精装三房，中间楼层，拎包入住,64.3,7382,龙湖湘风原著B3区 ,金星北,3室1厅,87.11平米,南,精装,中楼层(共34层) ,中,34,板楼,unknown,https://cs.lianjia.com/ershoufang/104113618664.html,87.11,34.0,3.0,1.0,21.433333333333334,0.03443921478590288,0,1.0,2,0
地铁口 精装小三方 中间楼层 业主诚心卖 随时看房,82.0,7984,幸福考拉789 ,金霞,3室2厅,102.71平米,南,其他,中楼层(共28层) ,中,28,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104112374982.html,102.71,28.0,3.0,2.0,27.333333333333332,0.02920845097848311,0,1.0,1,1
雨花区政府 电梯两房 真是便宜 南雅陪读房,48.6,6441,博雅公寓 ,武广新城,2室1厅,75.46平米,南,精装,中楼层(共32层) ,中,32,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115555029.html,75.46,32.0,2.0,1.0,24.3,0.0265041081367612,0,1.0,2,0
澳海澜庭 精品洋房 婚房装修  拎包入住,54.5,6139,澳海澜庭 ,金星北,3室1厅,88.78平米,南,精装,高楼层(共6层),高,6,板楼,2015年,https://cs.lianjia.com/ershoufang/104115498793.html,88.78,6.0,3.0,1.0,18.166666666666668,0.03379139445821131,0,2.0,2,0
星湖湾二期 3室2厅 东南,59.8,6874,星湖湾二期 ,开元路,3室2厅,87平米,东南,毛坯,中楼层(共32层),中,32,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104115493369.html,87.0,32.0,3.0,2.0,19.933333333333334,0.034482758620689655,0,1.0,0,2
急！钰龙天下一期精装三房，视野开阔，诚意出售，可看,218.0,23474,钰龙天下佳园 ,观沙岭,3室2厅,92.87平米,南,精装,高楼层(共33层),高,33,板塔结合,2008年,https://cs.lianjia.com/ershoufang/104115789331.html,92.87,33.0,3.0,2.0,72.66666666666667,0.03230321955421557,0,2.0,2,1
户型周正楼层好，采光及视野都很不错，出租或住家都可,50.0,6728,高盛华成 ,枫林三路,2室1厅,74.32平米,南,简装,中楼层(共34层),中,34,板塔结合,2015年,https://cs.lianjia.com/ershoufang/104112230654.html,74.32,34.0,2.0,1.0,25.0,0.026910656620021532,0,1.0,1,0
新年主推，中间楼层，得房率高，户型正气，看房随时,89.9,7970,润和之悦 ,金星北,4室2厅,112.81平米,南,精装,中楼层(共32层) ,中,32,塔楼,unknown,https://cs.lianjia.com/ershoufang/104115339111.html,112.81,32.0,4.0,2.0,22.475,0.03545784948142895,0,1.0,2,1
龙湖小高层 毛坯小三房 朝小区花园 不吵,59.9,6726,龙湖璟宸原著香颂  ,金星北,3室2厅,89.07平米,北,毛坯,中楼层(共20层) ,中,20,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104116358771.html,89.07,20.0,3.0,2.0,19.966666666666665,0.033681374200067365,0,1.0,0,2
中茂城网红街金科时代中心小三房楼层好，配套好,59.8,7105,金科时代中心 ,泉塘,3室2厅,84.17平米,南,精装,中楼层(共33层),中,33,板塔结合,2017年,https://cs.lianjia.com/ershoufang/104115654975.html,84.17,33.0,3.0,2.0,19.933333333333334,0.035642152786028274,0,1.0,2,1
联排别墅中间户前后带院子上下共4层,178.0,7450,静园山庄 ,雷锋大道,5室2厅,238.94平米,南 北,毛坯,低楼层(共3层) ,低,3,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115775796.html,238.94,3.0,5.0,2.0,35.6,0.020925755419770653,1,0.0,0,2
智能化社区，精装修未入住，板楼低密度高绿化,129.8,10780,美的麓府 ,麓谷西,4室2厅,120.41平米,南,精装,中楼层(共27层) ,中,27,板楼,unknown,https://cs.lianjia.com/ershoufang/104113056799.html,120.41,27.0,4.0,2.0,32.45,0.03321983223984719,0,1.0,2,1
潘家坪，湘雅医院，6号线新时代广场105平业主诚心出售,53.0,5022,新时代广场 ,烈士公园,1室1厅,105.55平米,北,简装,中楼层(共30层),中,30,塔楼,2009年,https://cs.lianjia.com/ershoufang/104115449075.html,105.55,30.0,1.0,1.0,53.0,0.009474182851729039,0,1.0,1,0
谷山脚下，小洋房，环境优雅舒适,70.0,5692,珠江东方明珠 ,金星北,3室1厅,123平米,南,精装,低楼层(共26层),低,26,板塔结合,2012年,https://cs.lianjia.com/ershoufang/104116373479.html,123.0,26.0,3.0,1.0,23.333333333333332,0.024390243902439025,0,0.0,2,3
自住轻美式精装 全屋高定 龙湖9.9成新 位置佳楼层好,212.0,18785,龙湖春江郦城 ,滨江新城,3室2厅,112.86平米,南 北,其他,高楼层(共32层) ,高,32,板塔结合,unknown,https://cs.lianjia.com/ershoufang/104115939374.html,112.86,32.0,3.0,2.0,70.66666666666667,0.02658160552897395,1,2.0,1,4
洋湖湿地正地铁口精装房诚心出售,32.5,7101,荟聚之光 ,洋湖垸,1室1厅,45.77平米,南,精装,高楼层(共21层) ,高,21,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104115189428.html,45.77,21.0,1.0,1.0,32.5,0.021848372296263928,0,2.0,2,0
正地铁口  精装修 拎包入住 诚心出售,95.8,7308,新城和樾 ,金霞,4室2厅,131.09平米,南 北,其他,高楼层(共33层),高,33,板塔结合,2019年,https://cs.lianjia.com/ershoufang/104113289092.html,131.09,33.0,4.0,2.0,23.95,0.03051338774887482,1,2.0,1,4
业主诚心卖，房型好，通透户型，楼层视野佳，采光好,26.0,3604,才子城 ,望城区,4室2厅,72.15平米,南,其他,中楼层(共32层) ,中,32,暂无数据,unknown,https://cs.lianjia.com/ershoufang/104114457058.html,72.15,32.0,4.0,2.0,6.5,0.05544005544005544,0,1.0,1,1
急售 精装修四房 边户 视野开阔 阳光足 拎包入住,78.0,6836,米兰春天 ,含浦,4室2厅,114.11平米,南,精装,高楼层(共22层),高,22,板塔结合,2016年,https://cs.lianjia.com/ershoufang/104111060300.html,114.11,22.0,4.0,2.0,19.5,0.03505389536412234,0,2.0,2,1
次新小区 一线湖景 自住装修 中间好楼层！,430.0,19387,佳兆业云顶梅溪湖 ,梅溪湖南岸,4室2厅,221.8平米,南,精装,中楼层(共49层),中,49,塔楼,2020年,https://cs.lianjia.com/ershoufang/104115999728.html,221.8,49.0,4.0,2.0,107.5,0.018034265103697024,0,1.0,2,1
